Restaurant Name,Address,City,Province,Postal Code,Latitude,Longitude
Queen St,611 Queen St,Toronto,ON,M5V 2B7,43.6472813,-79.4024131
Richmond & Adelaide,120 Adelaide St West,Toronto,ON,M5H 1P9,43.649906,-79.3832441
Bloor St,2406 Bloor St,Toronto,ON,M6S 1P9,43.6498063,-79.4833185
Courtney Park,"80 Courtneypark Dr E,",Mississauga,ON,L5T 2Y3,43.637079,-79.6915506
Milton,875 Main St East,Milton,ON,L9T 3Z3,43.5274379,-79.8683365
Louis St Laurent,"9040 Louis St. Laurent Ave, Unit # 2 Building D",Milton,ON,L9E 1X7,43.5070132,-79.8362444
Dixie,"5083 Dixie Rd, Mississauga,",Mississauga,ON,L4W 5K1,43.6382366,-79.6220052
1166 St Clair,1166 St Clair west,Toronto,ON,M6E 1B3,43.6780902,-79.4432957
Heartland,"5945 Latimer Dr #9,",Mississauga,ON,L5V 0B5,43.6088664,-79.696562
,6070 Dixie,Mississauga,ON,L5T 1A6,43.6568074,-79.6503127
Clementine,120 Clementine Dr #5,Brampton,ON,L6Y 0L8,43.64439,-79.75652
,2763 Danforth Av,Toronto,ON,M4C 1L8,43.6889942,-79.2970845
Bramalea City Center,25 Peel Centre Dr,Brampton,ON,L6T 3R5,43.7157098,-79.7215288
Chrysler Dr,470 Chrysler Dr,Brampton,ON,L6Z 0C1,43.7471691,-79.7148345
,10635 Bramalea Rd #3,Brampton,ON,L6R 3P4,43.7560856,-79.7589517
,170 Sandalwood Parkway E,Brampton,ON,L6Z 1Y5,43.7268107,-79.7978447
Yorkdale Mall,3401 Dufferin St,Toronto,ON,M6A 2T9,43.7251083,-79.4528087
,600 Lakeshore Rd,Mississauga,ON,L5G 1J4,43.5683503,-79.5674503
,6795 Airport Rd Unit A3,Mississauga,ON,L4V 1E6,43.7003115,-79.6362625
,1 Kennedy Rd S,Brampton,ON,L6W 3C9,43.6945668,-79.7491973
,8205 Financial Dr,Brampton,ON,L6Y 1M1,43.6356217,-79.7878219
,1482 Dundas St E,Mississauga,ON,L4X 1L4,43.61118,-79.58064
,"625 Trunk Rd unit 2 building a,",Sault Ste Marie,ON,P6A 3T2,46.5204081,-84.27487
YYZ,"6301 Silver Dart Dr. Terminal 1, Domestic Post Security",Mississauga,ON,L5P 1B2,43.6865298,-79.6268858
Square One Mall,100 City Centre Drive Unit 1-830,Mississauga,ON,L5B 2C3,43.5932372,-79.6442672
,1 Steeles Avenue E,Brampton,ON,L6W 4J4,43.6660855,-79.7324073
,"215 Queens Quay E ,",Toronto,ON,M5A 3Y4,43.64514,-79.36456
Eaton Center,220 Yonge St Unit F019,Toronto,ON,M5B 2H1,43.6544186,-79.3807186
,165 East Liberty Street,Toronto,ON,M6K 3P6,43.638466,-79.4171243
,145 Silver Reign Dr Unit 1103,Toronto,ON,M9W 3W4,43.7118926,-79.5568154
,505 St Clair Ave West Unit 107,Toronto,ON,MC6 1A1,43.6829323,-79.4184881
,1317 Barton St E,Hamilton,ON,L8H 2V4,43.2501753,-79.8062979
,"4205 Keele St Unit 6,",North York,ON,M3J 3T8,43.7738302,-79.4921291
Yong and Eglinton,2439 Yonge St,Toronto,ON,M4P 2E7,43.7108207,-79.3989789
,"7600 Weston Road, Unit #45",Woodbridge,ON,L4L 8B7,43.7875279,-79.5485471
,870 Upper James St Unit #4,Hamilton,ON,L9C3A4,43.2271276,-79.8829833
,"746 Victoria Park Ave,",Scarborough,ON,M1R 1S1,43.7231761,-79.3019677
Queen and Logan,861 Queen St E,Toronto,ON,M4M 1J2,43.6602804,-79.3429623
,2120 Rymal Rd E Unit K-4,Hamilton,ON,L0R 1P0,43.1762389,-79.7912958
,5 Mountainview Rd N,Georgetown,ON,L7G 4T3,43.651232,-79.9034838
Streetsville,251 Queen St S,Mississauga,ON,L5M 1L7,43.5802048,-79.711413
,459 Holland Steet West,Bradford,ON,L3C 0C1,44.1098344,-79.5861177
Yonge & Dundas,372 Yonge St,Toronto,ON,M5G 2K9,43.6587182,-79.382272
,1979 Weston Rd. Unit 1,Toronto,ON,M9N 1W8,43.7012032,-79.5189351
,5696 Baldwin St. South Unit 16A,Whitby,ON,L1M 2J7,43.9513013,-78.9619988
College & Augusta,351 College St,Toronto,ON,M5T 1S5,43.6571496,-79.4034036
,3-25 Stonebridge Rd,Wasaga Beach,ON,L9Z 0C1,44.5242046,-80.0085862
,800-840 Tower St South,Fergus,ON,N1M 2R2,43.6978425,-80.3688228
,11825 Bramalaea Rd. Unit 5,Brampton,ON,L6R 3S9,43.7717108,-79.7805723
,170 - 12477 88 Ave,Surrey,BC,V3W1P8,49.1638275,-122.8771381
,3065-111666 Stevenston Hwy,Richmond,BC,V7A 1N6,49.1334989,-123.0911393
,656 Gardiners Rd. Unit 20B,Kingston,ON,K7N3X9,44.2461627,-76.5665481
,1627 Saint Catherine St West,Montreal,QC,H3H 1L8,45.4947875,-73.5785533
,3210 Lakeshore Blvd West Unit A,Etobicoke,ON,M8V 1L9,43.5974551,-79.5209903
,2583 St Clair Av West Unit 2,Toronto,ON,M6N 4Z5,43.6672462,-79.4882923
,2215 Steeles Ave West Unit 7,North York,ON,M3J 3N2,43.7853161,-79.4774992
,115 - 12800 Bridgeport Rd,Richmond,BC,V6V 0B4,49.1917092,-123.0809694
,840 Wellington Road,London,ON,N6E 1L9,42.9428699,-81.2251917
,A-1 2788 Highway 50,Bolton,ON,L7E 4G1,43.8080637,-79.6721589
,420 Main Street Unit 4,Cambridge,ON,N14 8N9,43.3578709,-80.2910401
,339 Princess St,Kingston,ON,K7L 1B7,44.2328612,-76.4901142
,7 Rossland East,Ajax,ON,L1Z 0T4,43.8801194,-79.0239389
,8630 Woodbine Avenue Unit 5,Markham,ON,L3R 4X8,43.8525769,-79.3591312
,605 Unit B4 Rogers Rd,Toronto,ON,M6M 1B9,43.681983,-79.4732901
,790 Militarty Trail,Scarborough,ON,M1E 4P7,43.790192,-79.1953412
,1380 Lasalle Blvd Unit E2,Sudbury,ON,P3A 3T9,46.5225247,-80.9457628
,360 Caradoc Street,Strathroy,ON,N7G 2P6,42.9467585,-81.6133141
,1365 Woodroffe Avenue Unit C,Nepean,ON,L3R 4X8,45.3502342,-75.7590671
,347 Dalhousie St,Ottawa,ON,K1N 7G1,45.4282415,-75.6904049
,6640 Finch Ave West,Etobicoke,ON,M9W 0B3,43.7339668,-79.6046097
,188 Bell Blvd,Belleville,ON,K8P 5L2,44.1866117,-77.4048732
,2021 Green Rd Unit 107,Bowmanville,ON,L1C 3K7,43.9119054,-78.7125006
,1150 16th St E Unit C1,Owen Sound,ON,N4K 0A2,44.574276,-80.9237604
,2040 Algonquin Rd #13A,Sudbury,ON,P3E 4Z6,46.4471749,-80.9943578
,96 First St Unit 1B,Orangeville,ON,L9W 2E8,43.9297039,-80.1007937
,"10 Balsam St Unit 2,",Collingwood,ON,L9Y 3J4,44.5029745,-80.2344555
,95 The Pond Rd Building C2,Toronto,ON,M3J 0L1,43.7702042,-79.500486
,1393 Harmony Rd N Unit M2,Oshawa,ON,L1H 7K5,43.941041,-78.8483462
,"6981 Yonge St, North York, ON M2M 3X9",North York,ON,M2M 3X9,43.7976451,-79.4195649
,"30 Diana Dr Building 4, Unit 1",Orillia,ON,L3V 6H2,44.596656,-79.4535448
,"2539 Parkdale Ave, Unit A1B",Brockville,ON,K6V 3H1,44.6013087,-75.7025625
,1900 Simcoe St N Unit 103,Oshawa,ON,L1G 4Y3,43.9434538,-78.8906662
Living Arts Dr,4188 Living Arts Dr #4,Mississauga,ON,L5B 0H7,43.589904,-79.648142
,3050 Garden St Unit 123,Whitby,ON,L1R 2G7,43.9011463,-78.9422374
,19 Wyndham St N,Guelph,ON,N1H 4E5,43.5451323,-80.2481994
,35 Harvard Rd Unit 8,Guelph,ON,N1G 3A2,43.5251245,-80.2222844
,27 Harry Walker Pkwy Unit 3,Newmarket,ON,L3Y 0G3,44.0662427,-79.4255551
,285 Mill Street Unit C2,Angus,ON,L0M 1B4,44.3321387,-79.8868081
,863 Red River Rd #5,Thunder Bay,ON,P7B 1K3,48.446189,-89.2493419
,"1315-F, Second St E",Cornwall,ON,K6H 7C4,45.0246342,-74.7052348
,100 Bayshore Dr Unit FH6,Nepean,ON,K2B 8C1,45.3482612,-75.8050948
,36 Young St,Alliston,ON,L9R 1B4,44.1485831,-79.8829027
,75 Billy Bishop Way Unit A1,North York,ON,M3K 2C8,43.7332699,-79.4514346
,"140 Hamilton, Regional Rd 8 unit 10A,",Stoney Creek,ON,L8G 1C2,43.2231904,-79.7456587
,"1472 Innisfil Beach Rd,",Innisfil,ON,L9S 4B2,44.3087915,-79.5746543
,109 - 595 Arthur St West,Thunder Bay,ON,P7E 5R5,48.3816115,-89.2940311
,25 Brisdale Dr #3,Brampton,ON,L7A 2G8,43.68429,-79.81294
,"5027 - 44th St, Unit 109G",Lloydminster,AB,T9V 0A6,53.277683,-110.0077668
